GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AOB001
"G0100010","1880","Alabama","010","Autauga","0010","Autauga",13108
"G0100030","1880","Alabama","010","Baldwin","0030","Baldwin",8603
"G0100050","1880","Alabama","010","Barbour","0050","Barbour",33979
"G0100070","1880","Alabama","010","Bibb","0070","Bibb",9487
"G0100090","1880","Alabama","010","Blount","0090","Blount",15369
"G0100110","1880","Alabama","010","Bullock","0110","Bullock",29066
"G0100130","1880","Alabama","010","Butler","0130","Butler",19649
"G0100150","1880","Alabama","010","Calhoun","0150","Calhoun",19591
"G0100170","1880","Alabama","010","Chambers","0170","Chambers",23440
"G0100190","1880","Alabama","010","Cherokee","0190","Cherokee",19108
"G0100210","1880","Alabama","010","Chilton","0210","Chilton",10793
"G0100230","1880","Alabama","010","Choctaw","0230","Choctaw",15731
"G0100250","1880","Alabama","010","Clarke","0250","Clarke",17806
"G0100270","1880","Alabama","010","Clay","0270","Clay",12938
"G0100290","1880","Alabama","010","Cleburne","0290","Cleburne",10976
"G0100310","1880","Alabama","010","Coffee","0310","Coffee",8119
"G0100330","1880","Alabama","010","Colbert","0330","Colbert",16153
"G0100350","1880","Alabama","010","Conecuh","0350","Conecuh",12605
"G0100370","1880","Alabama","010","Coosa","0370","Coosa",15113
"G0100390","1880","Alabama","010","Covington","0390","Covington",5639
"G0100410","1880","Alabama","010","Crenshaw","0410","Crenshaw",11726
"G0100430","1880","Alabama","010","Cullman","0430","Cullman",6355
"G0100450","1880","Alabama","010","Dale","0450","Dale",12677
"G0100470","1880","Alabama","010","Dallas","0470","Dallas",48433
"G0100490","1880","Alabama","010","DeKalb","0490","Dekalb",12675
"G0100510","1880","Alabama","010","Elmore","0510","Elmore",17502
"G0100530","1880","Alabama","010","Escambia","0530","Escambia",5719
"G0100550","1880","Alabama","010","Etowah","0550","Etowah",15398
"G0100570","1880","Alabama","010","Fayette","0570","Fayette",10135
"G0100590","1880","Alabama","010","Franklin","0590","Franklin",9155
"G0100610","1880","Alabama","010","Geneva","0610","Geneva",4342
"G0100630","1880","Alabama","010","Greene","0630","Greene",21931
"G0100650","1880","Alabama","010","Hale","0650","Hale",26553
"G0100670","1880","Alabama","010","Henry","0670","Henry",18761
"G0100710","1880","Alabama","010","Jackson","0710","Jackson",25114
"G0100730","1880","Alabama","010","Jefferson","0730","Jefferson",23272
"G0100750","1880","Alabama","010","Lamar","0750","Lamar",12142
"G0100770","1880","Alabama","010","Lauderdale","0770","Lauderdale",21035
"G0100790","1880","Alabama","010","Lawrence","0790","Lawrence",21392
"G0100810","1880","Alabama","010","Lee","0810","Lee",27262
"G0100830","1880","Alabama","010","Limestone","0830","Limestone",21600
"G0100850","1880","Alabama","010","Lowndes","0850","Lowndes",31176
"G0100870","1880","Alabama","010","Macon","0870","Macon",17371
"G0100890","1880","Alabama","010","Madison","0890","Madison",37625
"G0100910","1880","Alabama","010","Marengo","0910","Marengo",30890
"G0100930","1880","Alabama","010","Marion","0930","Marion",9364
"G0100950","1880","Alabama","010","Marshall","0950","Marshall",14585
"G0100970","1880","Alabama","010","Mobile","0970","Mobile",48653
"G0100990","1880","Alabama","010","Monroe","0990","Monroe",17091
"G0101010","1880","Alabama","010","Montgomery","1010","Montgomery",52356
"G0101030","1880","Alabama","010","Morgan","1030","Morgan",16428
"G0101050","1880","Alabama","010","Perry","1050","Perry",30741
"G0101070","1880","Alabama","010","Pickens","1070","Pickens",21479
"G0101090","1880","Alabama","010","Pike","1090","Pike",20640
"G0101110","1880","Alabama","010","Randolph","1110","Randolph",16575
"G0101130","1880","Alabama","010","Russell","1130","Russell",24837
"G0101150","1880","Alabama","010","St Clair","1150","St Clair",14462
"G0101170","1880","Alabama","010","Shelby","1170","Shelby",17236
"G0101190","1880","Alabama","010","Sumter","1190","Sumter",28728
"G0101210","1880","Alabama","010","Talladega","1210","Talladega",23360
"G0101230","1880","Alabama","010","Tallapoosa","1230","Tallapoosa",23401
"G0101250","1880","Alabama","010","Tuscaloosa","1250","Tuscaloosa",24957
"G0101270","1880","Alabama","010","Walker","1270","Walker",9479
"G0101290","1880","Alabama","010","Washington","1290","Washington",4538
"G0101310","1880","Alabama","010","Wilcox","1310","Wilcox",31828
"G0101330","1880","Alabama","010","Winston","1330","Winston",4253
"G0250055","1880","Alaska Territory","025","Northern District","0055","Northern District",9964
"G0250095","1880","Alaska Territory","025","Southern District","0095","Southern District",23462
"G0450015","1880","Arizona Territory","045","Apache","0015","Apache",5283
"G0450135","1880","Arizona Territory","045","Maricopa","0135","Maricopa",5689
"G0450155","1880","Arizona Territory","045","Mohave","0155","Mohave",1190
"G0450195","1880","Arizona Territory","045","Pima","0195","Pima",17006
"G0450215","1880","Arizona Territory","045","Pinal","0215","Pinal",3044
"G0450255","1880","Arizona Territory","045","Yavapai","0255","Yavapai",5013
"G0450275","1880","Arizona Territory","045","Yuma","0275","Yuma",3215
"G0500010","1880","Arkansas","050","Arkansas","0010","Arkansas",8038
"G0500030","1880","Arkansas","050","Ashley","0030","Ashley",10156
"G0500050","1880","Arkansas","050","Baxter","0050","Baxter",6004
"G0500070","1880","Arkansas","050","Benton","0070","Benton",20328
"G0500090","1880","Arkansas","050","Boone","0090","Boone",12146
"G0500110","1880","Arkansas","050","Bradley","0110","Bradley",6285
"G0500130","1880","Arkansas","050","Calhoun","0130","Calhoun",5671
"G0500150","1880","Arkansas","050","Carroll","0150","Carroll",13337
"G0500170","1880","Arkansas","050","Chicot","0170","Chicot",10117
"G0500190","1880","Arkansas","050","Clark","0190","Clark",15771
"G0500210","1880","Arkansas","050","Clay","0210","Clay",7213
"G0500270","1880","Arkansas","050","Columbia","0270","Columbia",14090
"G0500290","1880","Arkansas","050","Conway","0290","Conway",12755
"G0500310","1880","Arkansas","050","Craighead","0310","Craighead",7037
"G0500330","1880","Arkansas","050","Crawford","0330","Crawford",14740
"G0500350","1880","Arkansas","050","Crittenden","0350","Crittenden",9415
"G0500370","1880","Arkansas","050","Cross","0370","Cross",5050
"G0500390","1880","Arkansas","050","Dallas","0390","Dallas",6505
"G0500410","1880","Arkansas","050","Desha","0410","Desha",8973
"G0500415","1880","Arkansas","050","Dorsey","0415","Dorsey",8370
"G0500430","1880","Arkansas","050","Drew","0430","Drew",12231
"G0500450","1880","Arkansas","050","Faulkner","0450","Faulkner",12786
"G0500470","1880","Arkansas","050","Franklin","0470","Franklin",14951
"G0500490","1880","Arkansas","050","Fulton","0490","Fulton",6720
"G0500510","1880","Arkansas","050","Garland","0510","Garland",9023
"G0500530","1880","Arkansas","050","Grant","0530","Grant",6185
"G0500550","1880","Arkansas","050","Greene","0550","Greene",7480
"G0500570","1880","Arkansas","050","Hempstead","0570","Hempstead",19015
"G0500590","1880","Arkansas","050","Hot Spring","0590","Hot Spring",7775
"G0500610","1880","Arkansas","050","Howard","0610","Howard",9917
"G0500630","1880","Arkansas","050","Independence","0630","Independence",18086
"G0500650","1880","Arkansas","050","Izard","0650","Izard",10857
"G0500670","1880","Arkansas","050","Jackson","0670","Jackson",10877
"G0500690","1880","Arkansas","050","Jefferson","0690","Jefferson",22386
"G0500710","1880","Arkansas","050","Johnson","0710","Johnson",11565
"G0500730","1880","Arkansas","050","Lafayette","0730","Lafayette",5730
"G0500750","1880","Arkansas","050","Lawrence","0750","Lawrence",8782
"G0500770","1880","Arkansas","050","Lee","0770","Lee",13288
"G0500790","1880","Arkansas","050","Lincoln","0790","Lincoln",9255
"G0500810","1880","Arkansas","050","Little River","0810","Little River",6404
"G0500830","1880","Arkansas","050","Logan","0830","Logan",14885
"G0500850","1880","Arkansas","050","Lonoke","0850","Lonoke",12146
"G0500870","1880","Arkansas","050","Madison","0870","Madison",11455
"G0500890","1880","Arkansas","050","Marion","0890","Marion",7907
"G0500910","1880","Arkansas","050","Miller","0910","Miller",9919
"G0500930","1880","Arkansas","050","Mississippi","0930","Mississippi",7332
"G0500950","1880","Arkansas","050","Monroe","0950","Monroe",9574
"G0500970","1880","Arkansas","050","Montgomery","0970","Montgomery",5729
"G0500990","1880","Arkansas","050","Nevada","0990","Nevada",12959
"G0501010","1880","Arkansas","050","Newton","1010","Newton",6120
"G0501030","1880","Arkansas","050","Ouachita","1030","Ouachita",11758
"G0501050","1880","Arkansas","050","Perry","1050","Perry",3872
"G0501070","1880","Arkansas","050","Phillips","1070","Phillips",21262
"G0501090","1880","Arkansas","050","Pike","1090","Pike",6345
"G0501110","1880","Arkansas","050","Poinsett","1110","Poinsett",2192
"G0501130","1880","Arkansas","050","Polk","1130","Polk",5857
"G0501150","1880","Arkansas","050","Pope","1150","Pope",14322
"G0501170","1880","Arkansas","050","Prairie","1170","Prairie",8435
"G0501190","1880","Arkansas","050","Pulaski","1190","Pulaski",32616
"G0501210","1880","Arkansas","050","Randolph","1210","Randolph",11724
"G0501230","1880","Arkansas","050","St Francis","1230","St Francis",8389
"G0501250","1880","Arkansas","050","Saline","1250","Saline",8953
"G0501270","1880","Arkansas","050","Scott","1270","Scott",9174
"G0501290","1880","Arkansas","050","Searcy","1290","Searcy",7278
"G0501310","1880","Arkansas","050","Sebastian","1310","Sebastian",19560
"G0501330","1880","Arkansas","050","Sevier","1330","Sevier",6192
"G0501350","1880","Arkansas","050","Sharp","1350","Sharp",9047
"G0501370","1880","Arkansas","050","Stone","1370","Stone",5089
"G0501390","1880","Arkansas","050","Union","1390","Union",13419
"G0501410","1880","Arkansas","050","Van Buren","1410","Van Buren",9565
"G0501430","1880","Arkansas","050","Washington","1430","Washington",23844
"G0501450","1880","Arkansas","050","White","1450","White",17794
"G0501470","1880","Arkansas","050","Woodruff","1470","Woodruff",8646
"G0501490","1880","Arkansas","050","Yell","1490","Yell",13852
"G0600010","1880","California","060","Alameda","0010","Alameda",62976
"G0600030","1880","California","060","Alpine","0030","Alpine",539
"G0600050","1880","California","060","Amador","0050","Amador",11384
"G0600070","1880","California","060","Butte","0070","Butte",18721
"G0600090","1880","California","060","Calaveras","0090","Calaveras",9094
"G0600110","1880","California","060","Colusa","0110","Colusa",13118
