GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AOM001,AOM002,AOM003,AOM004,AOM005,AOM006,AOM007,AOM008,AOF001
"G0100010","1880","Alabama","010","Autauga","0010","Autauga",11,139,181,556,254,350,71,43,616812
"G0100030","1880","Alabama","010","Baldwin","0030","Baldwin",11,55,47,47,32,88,24,33,277452
"G0100050","1880","Alabama","010","Barbour","0050","Barbour",8,81,196,1083,563,968,132,79,1877936
"G0100070","1880","Alabama","010","Bibb","0070","Bibb",0,27,78,269,128,469,63,23,416347
"G0100090","1880","Alabama","010","Blount","0090","Blount",1,24,152,310,618,936,39,6,541026
"G0100110","1880","Alabama","010","Bullock","0110","Bullock",3,30,147,1383,716,685,84,18,1450436
"G0100130","1880","Alabama","010","Butler","0130","Butler",12,87,292,815,322,555,63,22,852254
"G0100150","1880","Alabama","010","Calhoun","0150","Calhoun",1,35,224,486,364,729,60,7,936129
"G0100170","1880","Alabama","010","Chambers","0170","Chambers",1,41,197,1013,601,917,73,26,1466633
"G0100190","1880","Alabama","010","Cherokee","0190","Cherokee",0,58,306,628,487,895,31,7,965370
"G0100210","1880","Alabama","010","Chilton","0210","Chilton",0,18,64,238,314,590,42,11,398473
"G0100230","1880","Alabama","010","Choctaw","0230","Choctaw",14,45,286,659,264,548,93,57,774850
"G0100250","1880","Alabama","010","Clarke","0250","Clarke",6,137,435,796,327,700,128,65,895504
"G0100270","1880","Alabama","010","Clay","0270","Clay",0,45,177,392,487,840,33,5,552906
"G0100290","1880","Alabama","010","Cleburne","0290","Cleburne",0,30,72,284,304,780,36,12,449512
"G0100310","1880","Alabama","010","Coffee","0310","Coffee",1,16,39,198,177,560,46,23,418696
"G0100330","1880","Alabama","010","Colbert","0330","Colbert",1,36,357,507,278,540,76,26,746550
"G0100350","1880","Alabama","010","Conecuh","0350","Conecuh",6,90,199,475,257,384,63,35,439675
"G0100370","1880","Alabama","010","Coosa","0370","Coosa",2,37,190,518,390,895,70,19,842015
"G0100390","1880","Alabama","010","Covington","0390","Covington",1,49,86,134,81,310,35,10,173580
